Химки
Время 		Угл места 
52586.9		0.705054
52587.9		0.706111
52588.9		0.707112
52589.9		0.708055
52590.9		0.708941
52591.9		0.709769
52592.9		0.710538
52593.9		0.711248
52594.9		0.711898
52595.9		0.712488
52596.9		0.713018
52597.9		0.713487
52598.9		0.713896
52599.9		0.714242
52600.9		0.714528
52601.9		0.714751
52602.9		0.714913
52603.9		0.715013
52604.9		0.71505
52605.9		0.715026
52606.9		0.714939
52607.9		0.714791
52608.9		0.714581
52609.9		0.714308
52610.9		0.713975
52611.9		0.71358
52612.9		0.713123
52613.9		0.712606
52614.9		0.712029
52615.9		0.711391
52616.9		0.710694
52617.9		0.709938
52618.9		0.709122
52619.9		0.708249
52620.9		0.707318
52621.9		0.706329
52622.9		0.705284
52623.9		0.704183
52624.9		0.703027
52625.9		0.701817
52626.9		0.700552
52627.9		0.699235
52628.9		0.697865
52629.9		0.696444
52630.9		0.694973
52631.9		0.693451
52632.9		0.69188
52633.9		0.690262
52634.9		0.688596
52635.9		0.686884
52636.9		0.685127
52637.9		0.683325
52638.9		0.681479
52639.9		0.679591
52640.9		0.677662
52641.9		0.675692
52642.9		0.673682
52643.9		0.671634
52644.9		0.669548
52645.9		0.667426
52646.9		0.665267
52647.9		0.663074
52648.9		0.660848
52649.9		0.658588
52650.9		0.656297
52651.9		0.653975
52652.9		0.651624
52653.9		0.649243
52654.9		0.646835
52655.9		0.6444
52656.9		0.641939
52657.9		0.639453
52658.9		0.636942
52659.9		0.634409
52660.9		0.631854
52661.9		0.629277
52662.9		0.626679
52663.9		0.624062
52664.9		0.621427
52665.9		0.618773
52666.9		0.616103
52667.9		0.613416
52668.9		0.610714
52669.9		0.607998
52670.9		0.605268
52671.9		0.602524
52672.9		0.599769
52673.9		0.597002
52674.9		0.594224
52675.9		0.591436
52676.9		0.588638
52677.9		0.585832
52678.9		0.583018
52679.9		0.580197
52680.9		0.577369
52681.9		0.574534
52682.9		0.571695
52683.9		0.56885
52684.9		0.566001
52685.9		0.563148
52686.9		0.560292
52687.9		0.557433
52688.9		0.554572
52689.9		0.55171
52690.9		0.548846
52691.9		0.545982
52692.9		0.543117
52693.9		0.540252
52694.9		0.537389
52695.9		0.534526
52696.9		0.531664
52697.9		0.528805
52698.9		0.525948
52699.9		0.523093
52700.9		0.520242
52701.9		0.517393
52702.9		0.514549
52703.9		0.511708
52704.9		0.508872
52705.9		0.50604
52706.9		0.503213
52707.9		0.500392
52708.9		0.497576
52709.9		0.494765
52710.9		0.491961
52711.9		0.489162
52712.9		0.48637
52713.9		0.483585
52714.9		0.480807
52715.9		0.478036
52716.9		0.475272
52717.9		0.472515
52718.9		0.469766
52719.9		0.467025
52720.9		0.464292
52721.9		0.461567
52722.9		0.45885
52723.9		0.456142
52724.9		0.453442
52725.9		0.450751
52726.9		0.448068
52727.9		0.445395
52728.9		0.44273
52729.9		0.440075
52730.9		0.437429
52731.9		0.434792
52732.9		0.432165
52733.9		0.429547
52734.9		0.426938
52735.9		0.424339
52736.9		0.42175
52737.9		0.419171
52738.9		0.416601
52739.9		0.414041
52740.9		0.411492
52741.9		0.408952
52742.9		0.406422
52743.9		0.403902
52744.9		0.401392
52745.9		0.398892
52746.9		0.396402
52747.9		0.393922
52748.9		0.391452
52749.9		0.388993
52750.9		0.386544
52751.9		0.384104
52752.9		0.381675
52753.9		0.379257
52754.9		0.376848
52755.9		0.374449
52756.9		0.372061
52757.9		0.369683
52758.9		0.367314
52759.9		0.364956
52760.9		0.362609
52761.9		0.360271
52762.9		0.357943
52763.9		0.355625
52764.9		0.353318
52765.9		0.35102
52766.9		0.348732
52767.9		0.346455
52768.9		0.344187
52769.9		0.341929
52770.9		0.339681
52771.9		0.337443
52772.9		0.335215
52773.9		0.332996
52774.9		0.330787
52775.9		0.328588
52776.9		0.326399
52777.9		0.324219
52778.9		0.322049
52779.9		0.319888
52780.9		0.317737
52781.9		0.315595
52782.9		0.313463
52783.9		0.31134
52784.9		0.309227
52785.9		0.307122
52786.9		0.305027
52787.9		0.302941
52788.9		0.300865
52789.9		0.298797
52790.9		0.296739
52791.9		0.294689
52792.9		0.292648
52793.9		0.290617
52794.9		0.288594
52795.9		0.28658
52796.9		0.284575
52797.9		0.282578
52798.9		0.280591
52799.9		0.278611
52800.9		0.276641
52801.9		0.274679
52802.9		0.272725
52803.9		0.27078
52804.9		0.268843
52805.9		0.266915
52806.9		0.264994
52807.9		0.263082
52808.9		0.261178
52809.9		0.259283
52810.9		0.257395
52811.9		0.255515
52812.9		0.253643
52813.9		0.25178
52814.9		0.249924
52815.9		0.248075
52816.9		0.246235
52817.9		0.244402
52818.9		0.242577
52819.9		0.24076
52820.9		0.23895
52821.9		0.237147
52822.9		0.235352
52823.9		0.233565
52824.9		0.231785
52825.9		0.230012
52826.9		0.228246
52827.9		0.226488
52828.9		0.224737
52829.9		0.222992
52830.9		0.221255
52831.9		0.219525
52832.9		0.217802
52833.9		0.216086
52834.9		0.214376
52835.9		0.212674
52836.9		0.210978
52837.9		0.209289
52838.9		0.207607
52839.9		0.205931
52840.9		0.204262
52841.9		0.202599
52842.9		0.200943
52843.9		0.199293
52844.9		0.19765
52845.9		0.196013
52846.9		0.194382
52847.9		0.192758
52848.9		0.19114
52849.9		0.189528
52850.9		0.187922
52851.9		0.186322
52852.9		0.184729
52853.9		0.183141
52854.9		0.181559
52855.9		0.179983
52856.9		0.178413
52857.9		0.176849
52858.9		0.175291
52859.9		0.173738
52860.9		0.172191
52861.9		0.17065
52862.9		0.169114
52863.9		0.167584
52864.9		0.16606
52865.9		0.164541
52866.9		0.163027
52867.9		0.161519
52868.9		0.160017
52869.9		0.158519
52870.9		0.157027
52871.9		0.155541
52872.9		0.154059
52873.9		0.152583
52874.9		0.151112
52875.9		0.149645
52876.9		0.148185
52877.9		0.146729
52878.9		0.145278
52879.9		0.143832
52880.9		0.142391
52881.9		0.140955
52882.9		0.139523
52883.9		0.138097
52884.9		0.136675
52885.9		0.135259
52886.9		0.133847
52887.9		0.132439
52888.9		0.131036
52889.9		0.129638
52890.9		0.128245
52891.9		0.126856
